HallOfFameRowID,personID,year,votedBy,ballots,needed,votes,inducted,category,needed_note
0,cobbty01,1936,BBWAA,226.0,170.0,222.0,Y,Player,NULL
1,ruthba01,1936,BBWAA,226.0,170.0,215.0,Y,Player,NULL
2,wagneho01,1936,BBWAA,226.0,170.0,215.0,Y,Player,NULL
3,mathech01,1936,BBWAA,226.0,170.0,205.0,Y,Player,NULL
4,johnswa01,1936,BBWAA,226.0,170.0,189.0,Y,Player,NULL
5,lajoina01,1936,BBWAA,226.0,170.0,146.0,N,Player,NULL
6,speaktr01,1936,BBWAA,226.0,170.0,133.0,N,Player,NULL
7,youngcy01,1936,BBWAA,226.0,170.0,111.0,N,Player,NULL
8,hornsro01,1936,BBWAA,226.0,170.0,105.0,N,Player,NULL
9,cochrmi01,1936,BBWAA,226.0,170.0,80.0,N,Player,NULL
10,sislege01,1936,BBWAA,226.0,170.0,77.0,N,Player,NULL
11,collied01,1936,BBWAA,226.0,170.0,60.0,N,Player,NULL
12,colliji01,1936,BBWAA,226.0,170.0,58.0,N,Player,NULL
13,alexape01,1936,BBWAA,226.0,170.0,55.0,N,Player,NULL
14,gehrilo01,1936,BBWAA,226.0,170.0,51.0,N,Player,NULL
15,bresnro01,1936,BBWAA,226.0,170.0,47.0,N,Player,NULL
16,keelewi01,1936,BBWAA,226.0,170.0,40.0,N,Player,NULL
17,ansonca01,1936,Veterans,78.0,59.0,39.0,N,Player,NULL
18,ewingbu01,1936,Veterans,78.0,59.0,39.0,N,Player,NULL
19,keelewi01,1936,Veterans,78.0,59.0,33.0,N,Player,NULL
20,wadderu01,1936,BBWAA,226.0,170.0,33.0,N,Player,NULL
21,youngcy01,1936,Veterans,78.0,59.0,32.0,N,Player,NULL
22,delahed01,1936,Veterans,78.0,59.0,21.0,N,Player,NULL
23,foxxji01,1936,BBWAA,226.0,170.0,21.0,N,Player,NULL
24,walshed01,1936,BBWAA,226.0,170.0,20.0,N,Player,NULL
25,mcgrajo01,1936,Veterans,78.0,59.0,17.0,N,Player,NULL
26,delahed01,1936,BBWAA,226.0,170.0,17.0,N,Player,NULL
27,radboch01,1936,Veterans,78.0,59.0,16.0,N,Player,NULL
28,traynpi01,1936,BBWAA,226.0,170.0,16.0,N,Player,NULL
29,kellyki01,1936,Veterans,78.0,59.0,15.0,N,Player,NULL
30,longhe01,1936,Veterans,78.0,59.0,15.0,N,Player,NULL
31,friscfr01,1936,BBWAA,226.0,170.0,14.0,N,Player,NULL
32,grovele01,1936,BBWAA,226.0,170.0,12.0,N,Player,NULL
33,jennihu01,1936,Veterans,78.0,59.0,11.0,N,Player,NULL
34,rusieam01,1936,Veterans,78.0,59.0,11.0,N,Player,NULL
35,chaseha01,1936,BBWAA,226.0,170.0,11.0,N,Player,NULL
36,youngro01,1936,BBWAA,226.0,170.0,10.0,N,Player,NULL
37,clarkfr01,1936,Veterans,78.0,59.0,9.0,N,Player,NULL
38,terrybi01,1936,BBWAA,226.0,170.0,9.0,N,Player,NULL
39,colliji01,1936,Veterans,78.0,59.0,8.0,N,Player,NULL
40,klingjo01,1936,BBWAA,226.0,170.0,8.0,N,Player,NULL
41,crigelo01,1936,BBWAA,226.0,170.0,7.0,N,Player,NULL
42,comisch01,1936,Veterans,78.0,59.0,6.0,N,Player,NULL
43,dennyje01,1936,Veterans,78.0,59.0,6.0,N,Player,NULL
44,langebi01,1936,Veterans,78.0,59.0,6.0,N,Player,NULL
45,robinwi01,1936,Veterans,78.0,59.0,6.0,N,Player,NULL
46,stoveha01,1936,Veterans,78.0,59.0,6.0,N,Player,NULL
47,wrighge01,1936,Veterans,78.0,59.0,6.0,N,Player,NULL
48,brownmo01,1936,BBWAA,226.0,170.0,6.0,N,Player,NULL
49,eversjo01,1936,BBWAA,226.0,170.0,6.0,N,Player,NULL
50,clarkjo01,1936,Veterans,78.0,59.0,5.0,N,Player,NULL
51,wagneho01,1936,Veterans,78.0,59.0,5.0,N,Player,NULL
52,chancfr01,1936,BBWAA,226.0,170.0,5.0,N,Player,NULL
53,spaldal01,1936,Veterans,78.0,59.0,4.0,N,Player,NULL
54,mcgrajo01,1936,BBWAA,226.0,170.0,4.0,N,Player,NULL
55,schalra01,1936,BBWAA,226.0,170.0,4.0,N,Player,NULL
56,simmoal01,1936,BBWAA,226.0,170.0,4.0,N,Player,NULL
57,barnero01,1936,Veterans,78.0,59.0,3.0,N,Player,NULL
58,bennech01,1936,Veterans,78.0,59.0,3.0,N,Player,NULL
59,duffyhu01,1936,Veterans,78.0,59.0,3.0,N,Player,NULL
60,nichoki01,1936,Veterans,78.0,59.0,3.0,N,Player,NULL
61,wardjo01,1936,Veterans,78.0,59.0,3.0,N,Player,NULL
62,broutda01,1936,Veterans,78.0,59.0,2.0,N,Player,NULL
63,dunlafr01,1936,Veterans,78.0,59.0,2.0,N,Player,NULL
64,glassja01,1936,Veterans,78.0,59.0,2.0,N,Player,NULL
65,hamilbi01,1936,Veterans,78.0,59.0,2.0,N,Player,NULL
66,lajoina01,1936,Veterans,78.0,59.0,2.0,N,Player,NULL
67,willine01,1936,Veterans,78.0,59.0,2.0,N,Player,NULL
68,bendech01,1936,BBWAA,226.0,170.0,2.0,N,Player,NULL
69,jacksjo01,1936,BBWAA,226.0,170.0,2.0,N,Player,NULL
70,roushed01,1936,BBWAA,226.0,170.0,2.0,N,Player,NULL
71,allisdo01,1936,Veterans,78.0,59.0,1.0,N,Player,NULL
72,battijo01,1936,Veterans,78.0,59.0,1.0,N,Player,NULL
73,becklja01,1936,Veterans,78.0,59.0,1.0,N,Player,NULL
74,bondto01,1936,Veterans,78.0,59.0,1.0,N,Player,NULL
75,burkeje01,1936,Veterans,78.0,59.0,1.0,N,Player,NULL
76,crigelo01,1936,Veterans,78.0,59.0,1.0,N,Player,NULL
77,dahlebi01,1936,Veterans,78.0,59.0,1.0,N,Player,NULL
78,daubeja01,1936,Veterans,78.0,59.0,1.0,N,Player,NULL
79,doyleja01,1936,Veterans,78.0,59.0,1.0,N,Player,NULL
80,keefeti01,1936,Veterans,78.0,59.0,1.0,N,Player,NULL
81,kilroma01,1936,Veterans,78.0,59.0,1.0,N,Player,NULL
82,lathaar01,1936,Veterans,78.0,59.0,1.0,N,Player,NULL
83,lowebo01,1936,Veterans,78.0,59.0,1.0,N,Player,NULL
