parkID,parkName,parkAlias,city,state,country
ALB01,Riverside Park,NULL,Albany,NY,US
ALT01,Columbia Park,NULL,Altoona,PA,US
ANA01,Angel Stadium of Anaheim,Edison Field; Anaheim Stadium,Anaheim,CA,US
ARL01,Arlington Stadium,NULL,Arlington,TX,US
ARL02,Rangers Ballpark in Arlington,The Ballpark in Arlington; Ameriquest Fl,Arlington,TX,US
ATL01,Atlanta-Fulton County Stadium,NULL,Atlanta,GA,US
ATL02,Turner Field,NULL,Atlanta,GA,US
ATL03,Suntrust Park,NULL,Atlanta,GA,US
BAL01,Madison Avenue Grounds,NULL,Baltimore,MD,US
BAL02,Newington Park,NULL,Baltimore,MD,US
BAL03,Oriole Park I,NULL,Baltimore,MD,US
BAL04,Belair Lot,NULL,Baltimore,MD,US
BAL05,Monumental Park,NULL,Baltimore,MD,US
BAL06,Oriole Park II,NULL,Baltimore,MD,US
BAL07,Oriole Park III,NULL,Baltimore,MD,US
BAL09,Oriole Park IV,American League Park,Baltimore,MD,US
BAL10,Terrapin Park,Oriole Park V,Baltimore,MD,US
BAL11,Memorial Stadium,NULL,Baltimore,MD,US
BAL12,Oriole Park at Camden Yards,NULL,Baltimore,MD,US
BOS01,South End Grounds I,Walpole Street Grounds,Boston,MA,US
BOS02,Dartmouth Grounds,Union Park,Boston,MA,US
BOS03,South End Grounds II,NULL,Boston,MA,US
BOS04,Congress Street Grounds,NULL,Boston,MA,US
BOS05,South End Grounds III,NULL,Boston,MA,US
BOS06,Huntington Avenue Baseball Grounds,NULL,Boston,MA,US
BOS07,Fenway Park,NULL,Boston,MA,US
BOS08,Braves Field,Bee Hive,Boston,MA,US
BUF01,Riverside Grounds,NULL,Buffalo,NY,US
BUF02,Olympic Park I,NULL,Buffalo,NY,US
BUF03,Olympic Park II,NULL,Buffalo,NY,US
BUF04,International Fair Association Grounds,Federal League Park,Buffalo,NY,US
CAN01,Mahaffey Park,Pastime Park,Canton,OH,US
CAN02,Pastime Park,NULL,Canton,OH,US
CHI01,Lake Front Park I,Union Base-ball Grounds,Chicago,IL,US
CHI02,23rd Street Park,NULL,Chicago,IL,US
CHI03,Lake Front Park II,NULL,Chicago,IL,US
CHI05,South Side Park I,Cricket Club Grounds; Union Grounds,Chicago,IL,US
CHI06,West Side Park,NULL,Chicago,IL,US
CHI07,South Side Park II,NULL,Chicago,IL,US
CHI08,West Side Grounds,NULL,Chicago,IL,US
CHI09,South Side Park III,NULL,Chicago,IL,US
CHI10,Comiskey Park I,White Sox Park,Chicago,IL,US
CHI11,Wrigley Field,Weeghman Park; Cubs Park,Chicago,IL,US
CHI12,Guaranteed Rate Field,U.S. Cellular Field;White Sox Park; Comiskey Park II,Chicago,IL,US
CIN01,Lincoln Park Grounds,Union Cricket Club Grounds,Cincinnati,OH,US
CIN02,Avenue Grounds,NULL,Cincinnati,OH,US
CIN03,Bank Street Grounds,NULL,Cincinnati,OH,US
CIN04,League Park I,NULL,Cincinnati,OH,US
CIN05,League Park II,NULL,Cincinnati,OH,US
CIN06,Palace of the Fans,League Park III,Cincinnati,OH,US
CIN07,Crosley Field,Redland Field,Cincinnati,OH,US
CIN08,Cinergy Field,Riverfront Stadium,Cincinnati,OH,US
CIN09,Great American Ballpark,NULL,Cincinnati,OH,US
CLE01,National Association Grounds,NULL,Cleveland,OH,US
CLE02,League Park I,Kennard Street Park,Cleveland,OH,US
CLE03,League Park II,American Association Park,Cleveland,OH,US
CLE04,Brotherhood Park,Players League Park,Cleveland,OH,US
CLE05,League Park III,National League Park III,Cleveland,OH,US
CLE06,League Park IV,Dunn Field,Cleveland,OH,US
CLE07,Cleveland Stadium,Municipal Stadium,Cleveland,OH,US
CLE08,Progressive Field,Jacobs Field,Cleveland,OH,US
CLE09,Cedar Avenue Driving Park,NULL,Cleveland,OH,US
CLL01,Euclid Beach Park,NULL,Collinwood,OH,US
COL01,Recreation Park I,NULL,Columbus,OH,US
COL02,Recreation Park II,NULL,Columbus,OH,US
COL03,Neil Park I,NULL,Columbus,OH,US
COL04,Neil Park II,NULL,Columbus,OH,US
COV01,Star Baseball Park,NULL,Covington,KY,US
DAY01,Fairview Park,NULL,Dayton,OH,US
DEN01,Mile High Stadium,NULL,Denver,CO,US
DEN02,Coors Field,NULL,Denver,CO,US
DET01,Recreation Park,NULL,Detroit,MI,US
DET02,Bennett Park,NULL,Detroit,MI,US
DET03,Burns Park,West End Park,Detroit,MI,US
DET04,Tiger Stadium,Navin Field; Briggs Stadium,Detroit,MI,US
DET05,Comerica Park,NULL,Detroit,MI,US
DOV01,Fairview Park Fair Grounds,NULL,Dover,DE,US
ELM01,Maple Avenue Driving Park,NULL,Elmira,NY,US
FOR01,Grand Duchess,Hamilton Field,Fort Wayne,IN,US
FOR03,Jailhouse Flats,NULL,Fort Wayne,IN,US
FTB01,Fort Bragg Field,NULL,Fort Bragg,NC,US
GEA01,Geauga Lake Grounds,Beyerle's Park,Geauga Lake,OH,US
GLO01,Gloucester Point Grounds,NULL,Gloucester City,NJ,US
GLO02,Gloucester Fireworks Park,NULL,Gloucester City,NJ,US
GRA01,Ramona Park,NULL,Grand Rapids,MI,US
HAR01,Harrison Field,NULL,Harrison,NJ,US
HOB01,Elysian Field,NULL,Hoboken,NJ,US
HON01,Aloha Stadium,NULL,Honolulu,HI,US
HOU01,Colt Stadium,NULL,Houston,TX,US
HOU02,Astrodome,NULL,Houston,TX,US
HOU03,Minute Maid Park,Enron Field; Astros Field,Houston,TX,US
HRT01,Hartford Ball Club Grounds,NULL,Hartford,CT,US
HRT02,Hartford Trotting Park,NULL,Hartford,CT,US
IND01,South Street Park,NULL,Indianapolis,IN,US
IND02,Seventh Street Park I,NULL,Indianapolis,IN,US
IND03,Bruce Grounds,NULL,Indianapolis,IN,US
IND04,Seventh Street Park II,NULL,Indianapolis,IN,US
IND05,Seventh Street Park III,NULL,Indianapolis,IN,US
IND06,Indianapolis Park,NULL,Indianapolis,IN,US
IND07,Federal League Park,Washington Park,Indianapolis,IN,US
IRO01,Windsor Beach,NULL,Irondequoit,NY,US
JER01,Oakdale Park,NULL,Jersey City,NJ,US
JER02,Roosevelt Stadium,NULL,Jersey City,NJ,US
KAN01,Athletic Park,NULL,Kansas City,MO,US
KAN02,Association Park,NULL,Kansas City,MO,US
KAN03,Exposition Park,NULL,Kansas City,MO,US
KAN04,Gordon and Koppel Field,NULL,Kansas City,MO,US
KAN05,Municipal Stadium,NULL,Kansas City,MO,US
KAN06,Kauffman Stadium,Royals Stadium,Kansas City,MO,US
KEO01,Perry Park,Walte's Pasture,Keokuk,IA,US
LAS01,Cashman Field,NULL,Las Vegas,NV,US
LBV01,The Ballpark at Disney's Wide World,NULL,Lake Buena Vista,FL,US
LON01,London Stadium,NULL,London,ENG,UK
LOS01,Los Angeles Memorial Coliseum,NULL,Los Angeles,CA,US
LOS02,Wrigley Field,NULL,Los Angeles,CA,US
LOS03,Dodger Stadium,Chavez Ravine,Los Angeles,CA,US
LOU01,Louisville Baseball Park,NULL,Louisville,KY,US
LOU02,Eclipse Park I,NULL,Louisville,KY,US
LOU03,Eclipse Park II,NULL,Louisville,KY,US
LOU04,Eclipse Park III,NULL,Louisville,KY,US
LUD01,Ludlow Baseball Park,NULL,Ludlow,KY,US
MAS01,Long Island Grounds,NULL,Maspeth,NY,US
MIA01,Sun Life Stadium,JoeRobbie; ProPlayer; Dolphin; LandShark,Miami,FL,US
MIA02,Marlins Park,NULL,Miami,FL,US
MID01,Mansfield Club Grounds,NULL,Middletown,CT,US
MIL01,Milwaukee Base-Ball Grounds,NULL,Milwaukee,WI,US
MIL02,Wright Street Grounds,NULL,Milwaukee,WI,US
MIL03,Athletic Park,NULL,Milwaukee,WI,US
MIL04,Lloyd Street Grounds,NULL,Milwaukee,WI,US
MIL05,County Stadium,NULL,Milwaukee,WI,US
MIL06,Miller Park,NULL,Milwaukee,WI,US
MIN01,Athletic Park,NULL,Minneapolis,MN,US
MIN02,Metropolitan Stadium,NULL,Bloomington,MN,US
MIN03,Hubert H. Humphrey Metrodome,NULL,Minneapolis,MN,US
MIN04,Target Field,NULL,Minneapolis,MN,US
MNT01,Estadio Monterrey,NULL,Monterrey,Nuevo Leon,MX
MON01,Parc Jarry,Jarry Park,Montreal,QC,CA
MON02,Stade Olympique,Olympic Stadium,Montreal,QC,CA
NEW01,Howard Avenue Grounds,Brewster Park,New Haven,CT,US
NEW02,Hamilton Park,NULL,New Haven,CT,US
NEW03,Geauga Lake Grounds,Beyerle's Park,Geauga Lake,OH,US
NWK01,Wiedenmeyer's Park,NULL,Newark,NJ,US
NYC01,Union Grounds,NULL,Brooklyn,NY,US
NYC02,Capitoline Grounds,NULL,Brooklyn,NY,US
NYC03,Polo Grounds I (Southeast Diamond),NULL,New York,NY,US
NYC04,Polo Grounds II (Southwest Diamond),NULL,New York,NY,US
NYC05,Washington Park I,NULL,Brooklyn,NY,US
NYC06,Metropolitan Park,NULL,New York,NY,US
NYC07,Grauer's Ridgewood Park,Ridgewood Park I,Queens,NY,US
NYC08,Washington Park II,NULL,Brooklyn,NY,US
NYC09,Polo Grounds III,NULL,New York,NY,US
NYC10,Polo Grounds IV,NULL,New York,NY,US
NYC11,Eastern Park,NULL,Brooklyn,NY,US
NYC12,Washington Park III,NULL,Brooklyn,NY,US
NYC13,Hilltop Park,NULL,New York,NY,US
NYC14,Polo Grounds V,NULL,New York,NY,US
NYC15,Ebbets Field,NULL,Brooklyn,NY,US
NYC16,Yankee Stadium I,NULL,New York,NY,US
NYC17,Shea Stadium,William A. Shea Stadium,New York,NY,US
NYC18,Wallace's Ridgewood Park,Ridgewood Park II,Queens,NY,US
NYC19,Washington Park IV,NULL,Brooklyn,NY,US
NYC20,Citi Field,NULL,New York,NY,US
NYC21,Yankee Stadium II,NULL,New York,NY,US
OAK01,Oakland-Alameda County Coliseum,Network Associates Coliseum,Oakland,CA,US
OMA01,TD Ameritrade Park,NULL,Omaha,NE,US
PEN01,East End Park,Pendleton Park,Cincinnati,OH,US
PHI01,Jefferson Street Grounds,Athletics Park,Philadelphia,PA,US
PHI02,Centennial Park,NULL,Philadelphia,PA,US
PHI03,Oakdale Park,NULL,Philadelphia,PA,US
PHI04,Recreation Park,NULL,Philadelphia,PA,US
PHI05,Keystone Park,NULL,Philadelphia,PA,US
PHI06,Huntingdon Grounds I,NULL,Philadelphia,PA,US
PHI07,Forepaugh Park,NULL,Philadelphia,PA,US
PHI08,University of Penn. Athletic Field,NULL,Philadelphia,PA,US
PHI09,Baker Bowl,NULL,Philadelphia,PA,US
PHI10,Columbia Park,NULL,Philadelphia,PA,US
PHI11,Shibe Park,Connie Mack Stadium,Philadelphia,PA,US
PHI12,Veterans Stadium,NULL,Philadelphia,PA,US
PHI13,Citizens Bank Park,NULL,Philadelphia,PA,US
PHI14,Huntingdon Grounds II,NULL,Philadelphia,PA,US
PHO01,Chase Field,Bank One Ballpark,Phoenix,AZ,US
PIT01,Union Park,NULL,Pittsburgh,PA,US
PIT02,Exposition Park I,Lower Field,Pittsburgh,PA,US
PIT03,Exposition Park II,Upper Field,Pittsburgh,PA,US
PIT04,Recreation Park,NULL,Pittsburgh,PA,US
PIT05,Exposition Park III,NULL,Pittsburgh,PA,US
PIT06,Forbes Field,NULL,Pittsburgh,PA,US
PIT07,Three Rivers Stadium,NULL,Pittsburgh,PA,US
PIT08,PNC Park,NULL,Pittsburgh,PA,US
PRO01,Adelaide Avenue Grounds,NULL,Providence,RI,US
PRO02,Messer Street Grounds,NULL,Providence,RI,US
RCK01,Agricultural Society Fair Grounds,NULL,Rockford,IL,US
RIC01,Richmond Fair Grounds,NULL,Richmond,VA,US
RIC02,Allens Pasture,NULL,Richmond,VA,US
ROC01,Culver Field I,NULL,Rochester,NY,US
ROC02,Culver Field II,NULL,Rochester,NY,US
ROC03,Ontario Beach Grounds,NULL,Rochester,NY,US
SAI01,St. George Cricket Grounds,NULL,New York,NY,US
SAN01,Qualcomm Stadium,San Diego/Jack Murphy Stadium,San Diego,CA,US
SAN02,PETCO Park,NULL,San Diego,CA,US
SEA01,Sick's Stadium,NULL,Seattle,WA,US
SEA02,Kingdome,NULL,Seattle,WA,US
SEA03,Safeco Field,T-Mobile Park,Seattle,WA,US
SFO01,Seals Stadium,NULL,San Francisco,CA,US
SFO02,Candlestick Park,3Com Park,San Francisco,CA,US
SFO03,AT&T Park,Pacific Bell Park; SBC Park,San Francisco,CA,US
SJU01,Estadio Hiram Bithorn,NULL,San Juan,NULL,PR
SPR01,Hampden Park Race Track,Springfield Track,Springfield,MA,US
STL01,Red Stockings Base Ball Park,NULL,St. Louis,MO,US
STL02,Grand Avenue Park,NULL,St. Louis,MO,US
STL03,Sportsman's Park I,NULL,St. Louis,MO,US
STL04,Union Grounds,NULL,St. Louis,MO,US
STL05,Robison Field,NULL,St. Louis,MO,US
STL06,Sportsman's Park II,NULL,St. Louis,MO,US
STL07,Sportsman's Park III,Busch Stadium I,St. Louis,MO,US
STL08,Handlan's Park,Federal League Park,St. Louis,MO,US
STL09,Busch Stadium II,NULL,St. Louis,MO,US
STL10,Busch Stadium III,NULL,St. Louis,MO,US
STP01,Tropicana Field,NULL,St. Petersburg,FL,US
SYD01,Sydney Cricket Ground,NULL,Sydney,New South Wales,AU
SYR01,Star Park I,Newell Park,Syracuse,NY,US
SYR02,Star Park II,NULL,Syracuse,NY,US
SYR03,Iron Pier,NULL,Syracuse,NY,US
THR01,Three Rivers Park,NULL,Three Rivers,NY,US
TOK01,Tokyo Dome,NULL,Tokyo,Tokyo,JP
TOL01,League Park,NULL,Toledo,OH,US
TOL02,Tri-State Fair Grounds,NULL,Toledo,OH,US
TOL03,Speranza Park,NULL,Toledo,OH,US
TOL04,Armory Park,NULL,Toledo,OH,US
TOR01,Exhibition Stadium,NULL,Toronto,ON,CA
TOR02,Rogers Centre,Skydome,Toronto,ON,CA
TRO01,Haymakers' Grounds,NULL,Troy,NY,US
TRO02,Putnam Grounds,NULL,Troy,NY,US
WAR01,Rocky Point Park,NULL,Warwick,RI,US
WAS01,Olympic Grounds,NULL,Washington,DC,US
WAS02,National Grounds,NULL,Washington,DC,US
WAS03,Capitol Grounds,NULL,Washington,DC,US
WAS04,Athletic Park,NULL,Washington,DC,US
WAS05,Swampoodle Grounds,NULL,Washington,DC,US
WAS06,Boundary Field,NULL,Washington,DC,US
WAS07,American League Park I,NULL,Washington,DC,US
WAS08,American League Park II,NULL,Washington,DC,US
WAS09,Griffith Stadium,NULL,Washington,DC,US
WAS10,Robert F. Kennedy Stadium,D.C. Stadium,Washington,DC,US
WAS11,Nationals Park,NULL,Washington,DC,US
WAT01,Troy Ball Club Grounds,NULL,Watervliet,NY,US
WAV01,Waverly Fairgrounds,NULL,Waverly,NJ,US
WEE01,Monitor Grounds,NULL,Weehawken,NJ,US
WHE01,Island Grounds,NULL,Wheeling,WV,US
WIL01,Union Street Park,NULL,Wilmington,DE,US
WIL02,BB&T Ballpark at Bowman Field,NULL,Williamsport,PA,US
WNY01,West New York Field Club Grounds,NULL,West New York,NJ,US
WOR01,Agricultural County Fair Grounds I,NULL,Worcester,MA,US
WOR02,Agricultural County Fair Grounds II,NULL,Worcester,MA,US
WOR03,Worcester Driving Park Grounds,NULL,Worcester,MA,US
